?cap	?cap_label	?cap_definition
<http://purl.obolibrary.org/obo/LANG_0000009>	"Capacità linguistiche"@it	"La capacità di un'entità di comunicare utilizzando un linguaggio."@it
<http://purl.obolibrary.org/obo/LANG_0000010>	"Capacità utente competente scala globale del QCER"@it	"Capacità C1 o C2"@it
<http://purl.obolibrary.org/obo/LANG_0000011>	"Capacità utente competente scala globale del QCER C2"@it	"È in grado di comprendere senza sforzo praticamente tutto ciòche ascolta o legge. Sa riassumere informazioni tratte da diversefonti, orali e scritte, ristrutturando in un testo coerente leargomentazioni e le parti informative. Si esprimespontaneamente, in modo molto scorrevole e preciso e rendedistintamente sottili sfumature di significato anche in situazionipiuttosto complesse."@it
<http://purl.obolibrary.org/obo/LANG_0000012>	"Capacità utente competente scala globale del QCER C1"@it	"È in grado di comprendere un’ampia gamma di testi complessie piuttosto lunghi e ne sa ricavare anche il significato implicito.Si espri-me in modo scorrevole e spontaneo, senza uneccessivo sforzo per cercare le parole. Usa la lingua in modoflessibile ed efficace per scopi sociali, accademici eprofessionali. Sa produrre testi chiari, ben strutturati e articolatisu argomenti complessi, mostrando di saper controllare lestrutture discorsive, i connettivi e i meccanismi di coesione."@it
<http://purl.obolibrary.org/obo/LANG_0000013>	"Capacità di utilizzo indipendente su scala globale del QCER"@it	"Capacità B1 o B2, oppure B1+ o B2+."@it
<http://purl.obolibrary.org/obo/LANG_0000014>	"Capacità di utilizzo indipendente su scala globale del QCER B2+"@it	"È in grado di comprendere le idee fondamentali di testicomplessi su argomenti sia concreti sia astratti, comprese lediscussioni tecniche nel proprio settore di specializzazione. È ingrado di interagire con relativa scioltezza e spontaneità, tantoche l’interazione con un parlante nativo si sviluppa senzaeccessiva fatica e tensione. Sa produrre testi chiari e articolati suun’ampia gamma di argomenti e esprimere un’opinione su unargomento d’attualità, esponendo i pro e i contro delle diverseopzioni. PLUS"@it
<http://purl.obolibrary.org/obo/LANG_0000015>	"Capacità di utilizzo indipendente su scala globale del QCER B2"@it	"È in grado di comprendere le idee fondamentali di testicomplessi su argomenti sia concreti sia astratti, comprese lediscussioni tecniche nel proprio settore di specializzazione. È ingrado di interagire con relativa scioltezza e spontaneità, tantoche l’interazione con un parlante nativo si sviluppa senzaeccessiva fatica e tensione. Sa produrre testi chiari e articolati suun’ampia gamma di argomenti e esprimere un’opinione su unargomento d’attualità, esponendo i pro e i contro delle diverseopzioni."@it
<http://purl.obolibrary.org/obo/LANG_0000016>	"Capacità di utilizzo indipendente su scala globale del QCER B1+"@it	"È in grado di comprendere i punti essenziali di messaggi chiariin lingua standard su argomenti familiari che affrontanormalmente al lavoro, a scuola, nel tempo libero, ecc. Se lacava in molte situazioni che si possono presentare viaggiandoin una regione dove si parla la lingua in questione. Sa produrretesti semplici e coerenti su argomenti che gli siano familiari osiano di suo interesse. È in grado di descrivere esperienze eavvenimenti, sogni, speranze, ambizioni, di esporre brevementeragioni e dare spiegazioni su opinioni e progetti. PLUS"@it
<http://purl.obolibrary.org/obo/LANG_0000017>	"Capacità di utilizzo indipendente su scala globale del QCER B1"@it	"È in grado di comprendere i punti essenziali di messaggi chiariin lingua standard su argomenti familiari che affrontanormalmente al lavoro, a scuola, nel tempo libero, ecc. Se lacava in molte situazioni che si possono presentare viaggiandoin una regione dove si parla la lingua in questione. Sa produrretesti semplici e coerenti su argomenti che gli siano familiari osiano di suo interesse. È in grado di descrivere esperienze eavvenimenti, sogni, speranze, ambizioni, di esporre brevementeragioni e dare spiegazioni su opinioni e progetti."@it
<http://purl.obolibrary.org/obo/LANG_0000018>	"Capacità utente di base su scala globale del QCER"@it	"Una delle capacità A2+, A2 o A1."@it
<http://purl.obolibrary.org/obo/LANG_0000019>	"Capacità utente di base su scala globale del QCER A2+"@it	"È in grado di comprendere i punti essenziali di messaggi chiariin lingua standard su argomenti familiari che affrontanormalmente al lavoro, a scuola, nel tempo libero, ecc. Se lacava in molte situazioni che si possono presentare viaggiandoin una regione dove si parla la lingua in questione. Sa produrretesti semplici e coerenti su argomenti che gli siano familiari osiano di suo interesse. È in grado di descrivere esperienze eavvenimenti, sogni, speranze, ambizioni, di esporre brevementeragioni e dare spiegazioni su opinioni e progetti. PLUS"@it
<http://purl.obolibrary.org/obo/LANG_0000020>	"Capacità utente di base su scala globale del QCER A2"@it	"È in grado di comprendere i punti essenziali di messaggi chiariin lingua standard su argomenti familiari che affrontanormalmente al lavoro, a scuola, nel tempo libero, ecc. Se lacava in molte situazioni che si possono presentare viaggiandoin una regione dove si parla la lingua in questione. Sa produrretesti semplici e coerenti su argomenti che gli siano familiari osiano di suo interesse. È in grado di descrivere esperienze eavvenimenti, sogni, speranze, ambizioni, di esporre brevementeragioni e dare spiegazioni su opinioni e progetti."@it
<http://purl.obolibrary.org/obo/LANG_0000021>	"Capacità utente di base su scala globale del QCER A1"@it	"Riesce a comprendere frasi isolate ed espressioni di usofrequente relative ad ambiti di immediata rilevanza (ad es.informazioni di base sulla persona e sulla famiglia, acquisti,geografia locale, lavoro). Riesce a comunicare in attivitàsemplici e di routine che richiedono solo uno scambio diinformazioni semplice e diretto su argomenti familiari eabituali. Riesce a descrivere in termini semplici aspetti delproprio vissuto e del proprio ambiente ed elementi che siriferiscono a bisogni immediati."@it
