?label	?part1	?lang
"Abkhazian"@en	"ab"	<http://purl.obolibrary.org/obo/LANG_1000032>
"Afar"@en	"aa"	<http://purl.obolibrary.org/obo/LANG_1000015>
"Afrikaans"@en	"af"	<http://purl.obolibrary.org/obo/LANG_1000117>
"Akan"@en	"ak"	<http://purl.obolibrary.org/obo/LANG_1000192>
"Albanian"@en	"sq"	<http://purl.obolibrary.org/obo/LANG_1006002>
"Amharic"@en	"am"	<http://purl.obolibrary.org/obo/LANG_1000246>
"Arabic"@en	"ar"	<http://purl.obolibrary.org/obo/LANG_1000345>
"Aragonese"@en	"an"	<http://purl.obolibrary.org/obo/LANG_1000350>
"Armenian"@en	"hy"	<http://purl.obolibrary.org/obo/LANG_1002503>
"Assamese"@en	"as"	<http://purl.obolibrary.org/obo/LANG_1000379>
"Avaric"@en	"av"	<http://purl.obolibrary.org/obo/LANG_1000439>
"Avestan"@en	"ae"	<http://purl.obolibrary.org/obo/LANG_1000442>
"Aymara"@en	"ay"	<http://purl.obolibrary.org/obo/LANG_1000489>
"Azerbaijani"@en	"az"	<http://purl.obolibrary.org/obo/LANG_1000503>
"Bambara"@en	"bm"	<http://purl.obolibrary.org/obo/LANG_1000521>
"Bashkir"@en	"ba"	<http://purl.obolibrary.org/obo/LANG_1000519>
"Basque"@en	"eu"	<http://purl.obolibrary.org/obo/LANG_1001873>
"Belarusian"@en	"be"	<http://purl.obolibrary.org/obo/LANG_1000620>
"Bengali"@en	"bn"	<http://purl.obolibrary.org/obo/LANG_1000622>
"Bislama"@en	"bi"	<http://purl.obolibrary.org/obo/LANG_1000724>
"Bosnian"@en	"bs"	<http://purl.obolibrary.org/obo/LANG_1000871>
"Breton"@en	"br"	<http://purl.obolibrary.org/obo/LANG_1000931>
"Bulgarian"@en	"bg"	<http://purl.obolibrary.org/obo/LANG_1001011>
"Burmese"@en	"my"	<http://purl.obolibrary.org/obo/LANG_1004391>
"Catalan"@en	"ca"	<http://purl.obolibrary.org/obo/LANG_1001166>
"Chamorro"@en	"ch"	<http://purl.obolibrary.org/obo/LANG_1001232>
"Chechen"@en	"ce"	<http://purl.obolibrary.org/obo/LANG_1001236>
"Chinese"@en	"zh"	<http://purl.obolibrary.org/obo/LANG_1007730>
