?label	?part1	?lang
"abkhaze"@fr	"ab"	<http://purl.obolibrary.org/obo/LANG_1000032>
"afar"@fr	"aa"	<http://purl.obolibrary.org/obo/LANG_1000015>
"afrikaans"@fr	"af"	<http://purl.obolibrary.org/obo/LANG_1000117>
"akan"@fr	"ak"	<http://purl.obolibrary.org/obo/LANG_1000192>
"albanais"@fr	"sq"	<http://purl.obolibrary.org/obo/LANG_1006002>
"allemand"@fr	"de"	<http://purl.obolibrary.org/obo/LANG_1001539>
"amharique"@fr	"am"	<http://purl.obolibrary.org/obo/LANG_1000246>
"anglais"@fr	"en"	<http://purl.obolibrary.org/obo/LANG_1001823>
"arabe"@fr	"ar"	<http://purl.obolibrary.org/obo/LANG_1000345>
"aragonais"@fr	"an"	<http://purl.obolibrary.org/obo/LANG_1000350>
"arménien"@fr	"hy"	<http://purl.obolibrary.org/obo/LANG_1002503>
"assamais"@fr	"as"	<http://purl.obolibrary.org/obo/LANG_1000379>
"avar"@fr	"av"	<http://purl.obolibrary.org/obo/LANG_1000439>
"avestique"@fr	"ae"	<http://purl.obolibrary.org/obo/LANG_1000442>
"aymara"@fr	"ay"	<http://purl.obolibrary.org/obo/LANG_1000489>
"azéri"@fr	"az"	<http://purl.obolibrary.org/obo/LANG_1000503>
"bachkir"@fr	"ba"	<http://purl.obolibrary.org/obo/LANG_1000519>
"bambara"@fr	"bm"	<http://purl.obolibrary.org/obo/LANG_1000521>
"basque"@fr	"eu"	<http://purl.obolibrary.org/obo/LANG_1001873>
"bengali"@fr	"bn"	<http://purl.obolibrary.org/obo/LANG_1000622>
"bichlamar"@fr	"bi"	<http://purl.obolibrary.org/obo/LANG_1000724>
"birman"@fr	"my"	<http://purl.obolibrary.org/obo/LANG_1004391>
"biélorusse"@fr	"be"	<http://purl.obolibrary.org/obo/LANG_1000620>
"bosniaque"@fr	"bs"	<http://purl.obolibrary.org/obo/LANG_1000871>
"breton"@fr	"br"	<http://purl.obolibrary.org/obo/LANG_1000931>
"bulgare"@fr	"bg"	<http://purl.obolibrary.org/obo/LANG_1001011>
"catalan | valencien"@fr	"ca"	<http://purl.obolibrary.org/obo/LANG_1001166>
"chamorro"@fr	"ch"	<http://purl.obolibrary.org/obo/LANG_1001232>
"chichewa | chewa | nyanja"@fr	"ny"	<http://purl.obolibrary.org/obo/LANG_1004895>
"chinois"@fr	"zh"	<http://purl.obolibrary.org/obo/LANG_1007730>
"cornique"@fr	"kw"	<http://purl.obolibrary.org/obo/LANG_1001352>
"corse"@fr	"co"	<http://purl.obolibrary.org/obo/LANG_1001353>
"coréen"@fr	"ko"	<http://purl.obolibrary.org/obo/LANG_1003178>
"cree"@fr	"cr"	<http://purl.obolibrary.org/obo/LANG_1001376>
"croate"@fr	"hr"	<http://purl.obolibrary.org/obo/LANG_1002455>
"danois"@fr	"da"	<http://purl.obolibrary.org/obo/LANG_1001481>
"dzongkha"@fr	"dz"	<http://purl.obolibrary.org/obo/LANG_1001760>
"espagnol | castillan"@fr	"es"	<http://purl.obolibrary.org/obo/LANG_1005979>
"espéranto"@fr	"eo"	<http://purl.obolibrary.org/obo/LANG_1001837>
"estonien"@fr	"et"	<http://purl.obolibrary.org/obo/LANG_1001859>
"fidjien"@fr	"fj"	<http://purl.obolibrary.org/obo/LANG_1001913>
"finnois"@fr	"fi"	<http://purl.obolibrary.org/obo/LANG_1001915>
"français"@fr	"fr"	<http://purl.obolibrary.org/obo/LANG_1001942>
"frison occidental"@fr	"fy"	<http://purl.obolibrary.org/obo/LANG_1001953>
"féroïen"@fr	"fo"	<http://purl.obolibrary.org/obo/LANG_1001896>
"galicien"@fr	"gl"	<http://purl.obolibrary.org/obo/LANG_1002132>
"galla"@fr	"om"	<http://purl.obolibrary.org/obo/LANG_1005047>
"gallois"@fr	"cy"	<http://purl.obolibrary.org/obo/LANG_1001463>
"ganda"@fr	"lg"	<http://purl.obolibrary.org/obo/LANG_1003762>
"gaélique | gaélique écossais"@fr	"gd"	<http://purl.obolibrary.org/obo/LANG_1002128>
"goudjrati"@fr	"gu"	<http://purl.obolibrary.org/obo/LANG_1002251>
"grec moderne (après 1453)"@fr	"el"	<http://purl.obolibrary.org/obo/LANG_1001799>
"groenlandais"@fr	"kl"	<http://purl.obolibrary.org/obo/LANG_1002823>
"guarani"@fr	"gn"	<http://purl.obolibrary.org/obo/LANG_1002219>
"géorgien"@fr	"ka"	<http://purl.obolibrary.org/obo/LANG_1002830>
"haoussa"@fr	"ha"	<http://purl.obolibrary.org/obo/LANG_1002332>
"haïtien | créole haïtien"@fr	"ht"	<http://purl.obolibrary.org/obo/LANG_1002331>
"herero"@fr	"hz"	<http://purl.obolibrary.org/obo/LANG_1002356>
"hindi"@fr	"hi"	<http://purl.obolibrary.org/obo/LANG_1002372>
"hiri motu"@fr	"ho"	<http://purl.obolibrary.org/obo/LANG_1002404>
"hongrois"@fr	"hu"	<http://purl.obolibrary.org/obo/LANG_1002481>
"hébreu"@fr	"he"	<http://purl.obolibrary.org/obo/LANG_1002350>
"ido"@fr	"io"	<http://purl.obolibrary.org/obo/LANG_1002531>
"igbo"@fr	"ig"	<http://purl.obolibrary.org/obo/LANG_1002517>
"indonésien"@fr	"id"	<http://purl.obolibrary.org/obo/LANG_1002600>
"interlingua (langue auxiliaire internationale)"@fr	"ia"	<http://purl.obolibrary.org/obo/LANG_1002598>
"interlingue"@fr	"ie"	<http://purl.obolibrary.org/obo/LANG_1002580>
"inuktitut"@fr	"iu"	<http://purl.obolibrary.org/obo/LANG_1002573>
