?cap	?cap_label	?cap_definition
<http://purl.obolibrary.org/obo/LANG_0000009>	"Sprachfähigkeit"@de	"Die Fähigkeit einer Entität, über eine Sprache zu kommunizieren."@de
<http://purl.obolibrary.org/obo/LANG_0000010>	"CEFR Global Scale Kompetente Benutzerfähigkeit"@de	"Entweder C1 oder C2 Fähigkeit"@de
<http://purl.obolibrary.org/obo/LANG_0000011>	"CEFR Global Scale Kompetente Benutzerfähigkeit C2"@de	"Kann praktisch alles, was er/sie liest oder hört, mühelos verstehen.Kann Informationen aus verschiedenen schriftlichen und mündlichen Quellen zusammenfassen und dabei Begründungen und Erklärungen in einer zusammenhängenden Darstellung wiedergeben.Kann sich spontan, sehr flüssig und genau ausdrücken und auch bei komplexerenSachverhalten feinere Bedeutungsnuancen deutlich machen."@de
<http://purl.obolibrary.org/obo/LANG_0000012>	"CEFR Global Scale Kompetente Benutzerfähigkeit C1"@de	"Kann ein breites Spektrum anspruchsvoller, längerer Texte verstehen und auchimplizite Bedeutungen erfassen.Kann sich spontan und fließend ausdrücken, ohne öfter deutlich erkennbar nachWorten suchen zu müssen.Kann die Sprache im gesellschaftlichen und beruflichen Leben oder in Ausbildungund Studium wirksam und flexibel gebrauchen.Kann sich klar, strukturiert und ausführlich zu komplexen Sachverhalten äußernund dabei verschiedene Mittel zur Textverknüpfung angemessen verwenden."@de
<http://purl.obolibrary.org/obo/LANG_0000013>	"CEFR Global Scale Unabhängige Nutzerfähigkeit"@de	"Entweder die Fähigkeit B1 oder B2 oder die Fähigkeit B1+ oder B2+."@de
<http://purl.obolibrary.org/obo/LANG_0000014>	"CEFR Global Scale Unabhängige Nutzerfähigkeit B2+"@de	"Kann die Hauptinhalte komplexer Texte zu konkreten und abstrakten Themenverstehen; versteht im eigenen Spezialgebiet auch Fachdiskussionen.Kann sich so spontan und fließend verständigen, dass ein normales Gespräch mitMuttersprachlern ohne größere Anstrengung auf beiden Seiten gut möglich ist.Kann sich zu einem breiten Themenspektrum klar und detailliert ausdrücken, einen Standpunkt zu einer aktuellen Frage erläutern und die Vor- und Nachteileverschiedener Möglichkeiten angeben. PLUS"@de
<http://purl.obolibrary.org/obo/LANG_0000015>	"CEFR Global Scale Unabhängige Nutzerfähigkeit B2"@de	"Kann die Hauptinhalte komplexer Texte zu konkreten und abstrakten Themenverstehen; versteht im eigenen Spezialgebiet auch Fachdiskussionen.Kann sich so spontan und fließend verständigen, dass ein normales Gespräch mitMuttersprachlern ohne größere Anstrengung auf beiden Seiten gut möglich ist.Kann sich zu einem breiten Themenspektrum klar und detailliert ausdrücken, einen Standpunkt zu einer aktuellen Frage erläutern und die Vor- und Nachteileverschiedener Möglichkeiten angeben."@de
<http://purl.obolibrary.org/obo/LANG_0000016>	"CEFR Global Scale Unabhängige Nutzerfähigkeit B1+"@de	"Kann die Hauptpunkte verstehen, wenn klare Standardsprache verwendet wirdund wenn es um vertraute Dinge aus Arbeit, Schule, Freizeit usw. geht.Kann die meisten Situationen bewältigen, denen man auf Reisen im Sprachgebietbegegnet.Kann sich einfach und zusammenhängend über vertraute Themen und persönliche Interessengebiete äußern.Kann über Erfahrungen und Ereignisse berichten, Träume, Hoffnungen und Zielebeschreiben und zu Plänen und Ansichten kurze Begründungen oder Erklärungengeben. PLUS"@de
<http://purl.obolibrary.org/obo/LANG_0000017>	"CEFR Global Scale Unabhängige Nutzerfähigkeit B1"@de	"Kann die Hauptpunkte verstehen, wenn klare Standardsprache verwendet wirdund wenn es um vertraute Dinge aus Arbeit, Schule, Freizeit usw. geht.Kann die meisten Situationen bewältigen, denen man auf Reisen im Sprachgebietbegegnet.Kann sich einfach und zusammenhängend über vertraute Themen und persönliche Interessengebiete äußern.Kann über Erfahrungen und Ereignisse berichten, Träume, Hoffnungen und Zielebeschreiben und zu Plänen und Ansichten kurze Begründungen oder Erklärungengeben."@de
<http://purl.obolibrary.org/obo/LANG_0000018>	"CEFR Global Scale Grundlegende Benutzerfähigkeiten"@de	"Eine der Fähigkeiten A2+, A2 oder A1."@de
