?cap	?cap_label	?cap_definition
<http://purl.obolibrary.org/obo/LANG_0000009>	"Capacidad lingüística"@es	"La capacidad que tiene una entidad para comunicarse utilizando un idioma."@es
<http://purl.obolibrary.org/obo/LANG_0000010>	"Capacidad de usuario competente a escala mundial del MCER"@es	"Capacidad C1 o C2"@es
<http://purl.obolibrary.org/obo/LANG_0000011>	"Capacidad de usuario competente a escala mundial del CEFR C2"@es	"Es capaz de comprender con facilidad prácticamente todo lo que oye o lee.Sabe reconstruir la información y los argumentos procedentes de diversas fuentes, ya sean en lengua hablada oescrita, y presentarlos de manera coherente y resumida.Puede expresarse espontáneamente, con gran fluidez y con un grado de precisión que le permite diferenciar pequeñosmatices de significado incluso en situaciones de mayor complejidad."@es
<http://purl.obolibrary.org/obo/LANG_0000012>	"Capacidad de usuario competente a escala mundial del CEFR C1"@es	"Es capaz de comprender una amplia variedad de textos extensos y con cierto nivel de exigencia, así como reconoceren ellos sentidos implícitos.Sabe expresarse de forma fluida y espontánea sin muestras muy evidentes de esfuerzo para encontrar la expresiónadecuada.Puede hacer un uso flexible y efectivo del idioma para fines sociales, académicos y profesionales.Puede producir textos claros, bien estructurados y detallados sobre temas de cierta complejidad, mostrando un usocorrecto de los mecanismos de organización, articulación y cohesión del texto."@es
<http://purl.obolibrary.org/obo/LANG_0000013>	"Capacidad de usuario independiente a escala global del CEFR"@es	"Capacidad B1 o B2, o capacidad B1+ o B2+."@es
<http://purl.obolibrary.org/obo/LANG_0000014>	"Capacidad de usuario independiente a escala global del CEFR B2+"@es	"Es capaz de entender las ideas principales de textos complejos que traten de temas tanto concretos como abstractos,incluso si son de carácter técnico siempre que estén dentro de su campo de especialización.Puede relacionarse con hablantes nativos con un grado suficiente de fluidez y naturalidad de modo que lacomunicación se realice sin esfuerzo por parte de ninguno de los interlocutores.Puede producir textos claros y detallados sobre temas diversos así como defender un punto de vista sobre temasgenerales indicando los pros y los contras de las distintas opciones. PLUS"@es
<http://purl.obolibrary.org/obo/LANG_0000015>	"Capacidad de usuario independiente a escala global del CEFR B2"@es	"Es capaz de entender las ideas principales de textos complejos que traten de temas tanto concretos como abstractos,incluso si son de carácter técnico siempre que estén dentro de su campo de especialización.Puede relacionarse con hablantes nativos con un grado suficiente de fluidez y naturalidad de modo que lacomunicación se realice sin esfuerzo por parte de ninguno de los interlocutores.Puede producir textos claros y detallados sobre temas diversos así como defender un punto de vista sobre temasgenerales indicando los pros y los contras de las distintas opciones."@es
<http://purl.obolibrary.org/obo/LANG_0000016>	"Capacidad de usuario independiente a escala global del CEFR B1+"@es	"Es capaz de comprender los puntos principales de textos claros y en lengua estándar si tratan sobre cuestiones que leson conocidas, ya sea en situaciones de trabajo, de estudio o de ocio.Sabe desenvolverse en la mayor parte de las situaciones que pueden surgir durante un viaje por zonas donde seutiliza la lengua.Es capaz de producir textos sencillos y coherentes sobre temas que le son familiares o en los que tiene un interéspersonal.Puede describir experiencias, acontecimientos, deseos y aspiraciones, así como justificar brevemente sus opiniones oexplicar sus planes. PLUS"@es
<http://purl.obolibrary.org/obo/LANG_0000017>	"Capacidad de usuario independiente a escala global del CEFR B1"@es	"Es capaz de comprender los puntos principales de textos claros y en lengua estándar si tratan sobre cuestiones que leson conocidas, ya sea en situaciones de trabajo, de estudio o de ocio.Sabe desenvolverse en la mayor parte de las situaciones que pueden surgir durante un viaje por zonas donde seutiliza la lengua.Es capaz de producir textos sencillos y coherentes sobre temas que le son familiares o en los que tiene un interéspersonal.Puede describir experiencias, acontecimientos, deseos y aspiraciones, así como justificar brevemente sus opiniones oexplicar sus planes."@es
<http://purl.obolibrary.org/obo/LANG_0000018>	"Escala Global del MCER Capacidad básica del usuario"@es	"Uno de capacidad A2+, A2 o A1."@es
<http://purl.obolibrary.org/obo/LANG_0000019>	"Escala Global del MCER Capacidad básica del usuario A2+"@es	"Es capaz de comprender frases y expresiones de uso frecuente relacionadas con áreas de experiencia que le sonespecialmente relevantes (información básica sobre sí mismo y su familia, compras, lugares de interés, ocupaciones,etc.)Sabe comunicarse a la hora de llevar a cabo tareas simples y cotidianas que no requieran más que intercambiossencillos y directos de información sobre cuestiones que le son conocidas o habituales.Sabe describir en términos sencillos aspectos de su pasado y su entorno así como cuestiones relacionadas con susnecesidades inmediatas. PLUS"@es
<http://purl.obolibrary.org/obo/LANG_0000020>	"Escala Global del MCER Capacidad básica del usuario A2"@es	"Es capaz de comprender frases y expresiones de uso frecuente relacionadas con áreas de experiencia que le sonespecialmente relevantes (información básica sobre sí mismo y su familia, compras, lugares de interés, ocupaciones,etc.)Sabe comunicarse a la hora de llevar a cabo tareas simples y cotidianas que no requieran más que intercambiossencillos y directos de información sobre cuestiones que le son conocidas o habituales.Sabe describir en términos sencillos aspectos de su pasado y su entorno así como cuestiones relacionadas con susnecesidades inmediatas."@es
<http://purl.obolibrary.org/obo/LANG_0000021>	"Escala Global del MCER Capacidad básica del usuario A1"@es	"Es capaz de comprender y utilizar expresiones cotidianas de uso muy frecuente así como frases sencillas destinadas asatisfacer necesidades de tipo inmediato.Puede presentarse a sí mismo y a otros, pedir y dar información personal básica sobre su domicilio, sus pertenenciasy las personas que conoce.Puede relacionarse de forma elemental siempre que su interlocutor hable despacio y con claridad y esté dispuesto acooperar."@es
