?label	?part1	?lang
"Abkhazian"	"ab"	<http://purl.obolibrary.org/obo/LANG_1000032>
"Afar"	"aa"	<http://purl.obolibrary.org/obo/LANG_1000015>
"Afrikaans"	"af"	<http://purl.obolibrary.org/obo/LANG_1000117>
"Akan"	"ak"	<http://purl.obolibrary.org/obo/LANG_1000192>
"Albanian"	"sq"	<http://purl.obolibrary.org/obo/LANG_1006002>
"Amharic"	"am"	<http://purl.obolibrary.org/obo/LANG_1000246>
"Arabic"	"ar"	<http://purl.obolibrary.org/obo/LANG_1000345>
"Aragonese"	"an"	<http://purl.obolibrary.org/obo/LANG_1000350>
"Armenian"	"hy"	<http://purl.obolibrary.org/obo/LANG_1002503>
"Assamese"	"as"	<http://purl.obolibrary.org/obo/LANG_1000379>
"Avaric"	"av"	<http://purl.obolibrary.org/obo/LANG_1000439>
"Avestan"	"ae"	<http://purl.obolibrary.org/obo/LANG_1000442>
"Aymara"	"ay"	<http://purl.obolibrary.org/obo/LANG_1000489>
"Azerbaijani"	"az"	<http://purl.obolibrary.org/obo/LANG_1000503>
"Bambara"	"bm"	<http://purl.obolibrary.org/obo/LANG_1000521>
"Bashkir"	"ba"	<http://purl.obolibrary.org/obo/LANG_1000519>
"Basque"	"eu"	<http://purl.obolibrary.org/obo/LANG_1001873>
"Belarusian"	"be"	<http://purl.obolibrary.org/obo/LANG_1000620>
"Bengali"	"bn"	<http://purl.obolibrary.org/obo/LANG_1000622>
"Bislama"	"bi"	<http://purl.obolibrary.org/obo/LANG_1000724>
"Bosnian"	"bs"	<http://purl.obolibrary.org/obo/LANG_1000871>
"Breton"	"br"	<http://purl.obolibrary.org/obo/LANG_1000931>
"Bulgarian"	"bg"	<http://purl.obolibrary.org/obo/LANG_1001011>
"Burmese"	"my"	<http://purl.obolibrary.org/obo/LANG_1004391>
"Catalan"	"ca"	<http://purl.obolibrary.org/obo/LANG_1001166>
"Chamorro"	"ch"	<http://purl.obolibrary.org/obo/LANG_1001232>
"Chechen"	"ce"	<http://purl.obolibrary.org/obo/LANG_1001236>
"Chinese"	"zh"	<http://purl.obolibrary.org/obo/LANG_1007730>
"Church Slavic"	"cu"	<http://purl.obolibrary.org/obo/LANG_1001250>
"Chuvash"	"cv"	<http://purl.obolibrary.org/obo/LANG_1001251>
"Cornish"	"kw"	<http://purl.obolibrary.org/obo/LANG_1001352>
"Corsican"	"co"	<http://purl.obolibrary.org/obo/LANG_1001353>
"Cree"	"cr"	<http://purl.obolibrary.org/obo/LANG_1001376>
"Croatian"	"hr"	<http://purl.obolibrary.org/obo/LANG_1002455>
"Czech"	"cs"	<http://purl.obolibrary.org/obo/LANG_1001221>
"Danish"	"da"	<http://purl.obolibrary.org/obo/LANG_1001481>
"Dhivehi"	"dv"	<http://purl.obolibrary.org/obo/LANG_1001593>
"Dutch"	"nl"	<http://purl.obolibrary.org/obo/LANG_1004676>
"Dzongkha"	"dz"	<http://purl.obolibrary.org/obo/LANG_1001760>
"English"	"en"	<http://purl.obolibrary.org/obo/LANG_1001823>
"Esperanto"	"eo"	<http://purl.obolibrary.org/obo/LANG_1001837>
"Estonian"	"et"	<http://purl.obolibrary.org/obo/LANG_1001859>
"Ewe"	"ee"	<http://purl.obolibrary.org/obo/LANG_1001877>
"Faroese"	"fo"	<http://purl.obolibrary.org/obo/LANG_1001896>
"Fijian"	"fj"	<http://purl.obolibrary.org/obo/LANG_1001913>
"Finnish"	"fi"	<http://purl.obolibrary.org/obo/LANG_1001915>
"French"	"fr"	<http://purl.obolibrary.org/obo/LANG_1001942>
"Fulah"	"ff"	<http://purl.obolibrary.org/obo/LANG_1001965>
"Galician"	"gl"	<http://purl.obolibrary.org/obo/LANG_1002132>
"Ganda"	"lg"	<http://purl.obolibrary.org/obo/LANG_1003762>
"Georgian"	"ka"	<http://purl.obolibrary.org/obo/LANG_1002830>
"German"	"de"	<http://purl.obolibrary.org/obo/LANG_1001539>
"Guarani"	"gn"	<http://purl.obolibrary.org/obo/LANG_1002219>
"Gujarati"	"gu"	<http://purl.obolibrary.org/obo/LANG_1002251>
"Haitian"	"ht"	<http://purl.obolibrary.org/obo/LANG_1002331>
"Hausa"	"ha"	<http://purl.obolibrary.org/obo/LANG_1002332>
"Hebrew"	"he"	<http://purl.obolibrary.org/obo/LANG_1002350>
"Herero"	"hz"	<http://purl.obolibrary.org/obo/LANG_1002356>
"Hindi"	"hi"	<http://purl.obolibrary.org/obo/LANG_1002372>
"Hiri Motu"	"ho"	<http://purl.obolibrary.org/obo/LANG_1002404>
"Hungarian"	"hu"	<http://purl.obolibrary.org/obo/LANG_1002481>
"Icelandic"	"is"	<http://purl.obolibrary.org/obo/LANG_1002637>
"Ido"	"io"	<http://purl.obolibrary.org/obo/LANG_1002531>
"Igbo"	"ig"	<http://purl.obolibrary.org/obo/LANG_1002517>
"Indonesian"	"id"	<http://purl.obolibrary.org/obo/LANG_1002600>
"Interlingua (International Auxiliary Language Association)"	"ia"	<http://purl.obolibrary.org/obo/LANG_1002598>
"Interlingue"	"ie"	<http://purl.obolibrary.org/obo/LANG_1002580>
"Inuktitut"	"iu"	<http://purl.obolibrary.org/obo/LANG_1002573>
"Inupiaq"	"ik"	<http://purl.obolibrary.org/obo/LANG_1002616>
"Irish"	"ga"	<http://purl.obolibrary.org/obo/LANG_1002131>
"Italian"	"it"	<http://purl.obolibrary.org/obo/LANG_1002644>
"Japanese"	"ja"	<http://purl.obolibrary.org/obo/LANG_1002779>
"Javanese"	"jv"	<http://purl.obolibrary.org/obo/LANG_1002693>
"Kalaallisut"	"kl"	<http://purl.obolibrary.org/obo/LANG_1002823>
"Kannada"	"kn"	<http://purl.obolibrary.org/obo/LANG_1002825>
"Kanuri"	"kr"	<http://purl.obolibrary.org/obo/LANG_1002831>
"Kashmiri"	"ks"	<http://purl.obolibrary.org/obo/LANG_1002829>
"Kazakh"	"kk"	<http://purl.obolibrary.org/obo/LANG_1002836>
"Khmer"	"km"	<http://purl.obolibrary.org/obo/LANG_1002995>
"Kikuyu"	"ki"	<http://purl.obolibrary.org/obo/LANG_1003019>
"Kinyarwanda"	"rw"	<http://purl.obolibrary.org/obo/LANG_1003022>
"Kirghiz"	"ky"	<http://purl.obolibrary.org/obo/LANG_1003026>
"Komi"	"kv"	<http://purl.obolibrary.org/obo/LANG_1003173>
"Kongo"	"kg"	<http://purl.obolibrary.org/obo/LANG_1003174>
"Korean"	"ko"	<http://purl.obolibrary.org/obo/LANG_1003178>
"Kuanyama"	"kj"	<http://purl.obolibrary.org/obo/LANG_1003310>
"Kurdish"	"ku"	<http://purl.obolibrary.org/obo/LANG_1003327>
"Lao"	"lo"	<http://purl.obolibrary.org/obo/LANG_1003473>
"Latin"	"la"	<http://purl.obolibrary.org/obo/LANG_1003478>
"Latvian"	"lv"	<http://purl.obolibrary.org/obo/LANG_1003480>
"Limburgan"	"li"	<http://purl.obolibrary.org/obo/LANG_1003593>
"Lingala"	"ln"	<http://purl.obolibrary.org/obo/LANG_1003594>
