RDF Type	Class type	Parent	ID	See Also	Label	Part1	Part2L	Part2B	Part3	Scope	Type	Comment	Definition	Editors Note	Citation
TYPE	CLASS_TYPE	CI	ID	AI rdfs:seeAlso	AL rdfs:label@en	A lang:0000002	A lang:0000003	A lang:0000004	A  lang:0000005	A lang:0000006	A lang:0000007	A  lang:0000008	AL IAO:0000115@en	AL IAO:0000116@en	AL IAO:0000119@en

owl:Class	subclass	lang:0000001	lang:1000001		Alumu-Tesu				aab	I	L		Alumu-Tesu language		
owl:Class	subclass	lang:0000001	lang:1000002		Ari				aac	I	L		Ari language		
owl:Class	subclass	lang:0000001	lang:1000003		Amal				aad	I	L		Amal language		
owl:Class	subclass	lang:0000001	lang:1000004		Arbëreshë Albanian				aae	I	L		Arbëreshë Albanian language		
owl:Class	subclass	lang:0000001	lang:1000005		Aranadan				aaf	I	L		Aranadan language		
owl:Class	subclass	lang:0000001	lang:1000006		Ambrak				aag	I	L		Ambrak language		
owl:Class	subclass	lang:0000001	lang:1000007		Abu' Arapesh				aah	I	L		Abu' Arapesh language		
owl:Class	subclass	lang:0000001	lang:1000008		Arifama-Miniafia				aai	I	L		Arifama-Miniafia language		
owl:Class	subclass	lang:0000001	lang:1000009		Ankave				aak	I	L		Ankave language		
owl:Class	subclass	lang:0000001	lang:1000010		Afade				aal	I	L		Afade language		
owl:Class	subclass	lang:0000001	lang:1000011		Anambé				aan	I	L		Anambé language		
owl:Class	subclass	lang:0000001	lang:1000012		Algerian Saharan Arabic				aao	I	L		Algerian Saharan Arabic language		
owl:Class	subclass	lang:0000001	lang:1000013		Pará Arára				aap	I	L		Pará Arára language		
owl:Class	subclass	lang:0000001	lang:1000014		Eastern Abnaki				aaq	I	E		Eastern Abnaki language		
owl:Class	subclass	lang:0000001	lang:1000015		Afar	aa	aar	aar	aar	I	L		Afar language		
owl:Class	subclass	lang:0000001	lang:1000016		Aasáx				aas	I	L		Aasáx language		
owl:Class	subclass	lang:0000001	lang:1000017		Arvanitika Albanian				aat	I	L		Arvanitika Albanian language		
owl:Class	subclass	lang:0000001	lang:1000018		Abau				aau	I	L		Abau language		
owl:Class	subclass	lang:0000001	lang:1000019		Solong				aaw	I	L		Solong language		
owl:Class	subclass	lang:0000001	lang:1000020		Mandobo Atas				aax	I	L		Mandobo Atas language		
owl:Class	subclass	lang:0000001	lang:1000021		Amarasi				aaz	I	L		Amarasi language		
owl:Class	subclass	lang:0000001	lang:1000022		Abé				aba	I	L		Abé language		
owl:Class	subclass	lang:0000001	lang:1000023		Bankon				abb	I	L		Bankon language		
owl:Class	subclass	lang:0000001	lang:1000024		Ambala Ayta				abc	I	L		Ambala Ayta language		
owl:Class	subclass	lang:0000001	lang:1000025		Manide				abd	I	L		Manide language		
owl:Class	subclass	lang:0000001	lang:1000026		Western Abnaki				abe	I	L		Western Abnaki language		
owl:Class	subclass	lang:0000001	lang:1000027		Abai Sungai				abf	I	L		Abai Sungai language		
owl:Class	subclass	lang:0000001	lang:1000028		Abaga				abg	I	L		Abaga language		
owl:Class	subclass	lang:0000001	lang:1000029		Tajiki Arabic				abh	I	L		Tajiki Arabic language		
owl:Class	subclass	lang:0000001	lang:1000030		Abidji				abi	I	L		Abidji language		
owl:Class	subclass	lang:0000001	lang:1000031		Aka-Bea				abj	I	E		Aka-Bea language		
owl:Class	subclass	lang:0000001	lang:1000032		Abkhazian	ab	abk	abk	abk	I	L		Abkhazian language		
owl:Class	subclass	lang:0000001	lang:1000033		Lampung Nyo				abl	I	L		Lampung Nyo language		
owl:Class	subclass	lang:0000001	lang:1000034		Abanyom				abm	I	L		Abanyom language		
owl:Class	subclass	lang:0000001	lang:1000035		Abua				abn	I	L		Abua language		
owl:Class	subclass	lang:0000001	lang:1000036		Abon				abo	I	L		Abon language		
owl:Class	subclass	lang:0000001	lang:1000037		Abellen Ayta				abp	I	L		Abellen Ayta language		
owl:Class	subclass	lang:0000001	lang:1000038		Abaza				abq	I	L		Abaza language		
owl:Class	subclass	lang:0000001	lang:1000039		Abron				abr	I	L		Abron language		
owl:Class	subclass	lang:0000001	lang:1000040		Ambonese Malay				abs	I	L		Ambonese Malay language		
owl:Class	subclass	lang:0000001	lang:1000041		Ambulas				abt	I	L		Ambulas language		
owl:Class	subclass	lang:0000001	lang:1000042		Abure				abu	I	L		Abure language		
owl:Class	subclass	lang:0000001	lang:1000043		Baharna Arabic				abv	I	L		Baharna Arabic language		
owl:Class	subclass	lang:0000001	lang:1000044		Pal				abw	I	L		Pal language		
owl:Class	subclass	lang:0000001	lang:1000045		Inabaknon				abx	I	L		Inabaknon language		
owl:Class	subclass	lang:0000001	lang:1000046		Aneme Wake				aby	I	L		Aneme Wake language		
owl:Class	subclass	lang:0000001	lang:1000047		Abui				abz	I	L		Abui language		
owl:Class	subclass	lang:0000001	lang:1000048		Achagua				aca	I	L		Achagua language		
owl:Class	subclass	lang:0000001	lang:1000049		Áncá				acb	I	L		Áncá language		
owl:Class	subclass	lang:0000001	lang:1000050		Gikyode				acd	I	L		Gikyode language		
owl:Class	subclass	lang:0000001	lang:1000051		Achinese		ace	ace	ace	I	L		Achinese language		
owl:Class	subclass	lang:0000001	lang:1000052		Saint Lucian Creole French				acf	I	L		Saint Lucian Creole French language		
owl:Class	subclass	lang:0000001	lang:1000053		Acoli		ach	ach	ach	I	L		Acoli language		
owl:Class	subclass	lang:0000001	lang:1000054		Aka-Cari				aci	I	E		Aka-Cari language		
owl:Class	subclass	lang:0000001	lang:1000055		Aka-Kora				ack	I	E		Aka-Kora language		
owl:Class	subclass	lang:0000001	lang:1000056		Akar-Bale				acl	I	E		Akar-Bale language		
owl:Class	subclass	lang:0000001	lang:1000057		Mesopotamian Arabic				acm	I	L		Mesopotamian Arabic language		
owl:Class	subclass	lang:0000001	lang:1000058		Achang				acn	I	L		Achang language		
owl:Class	subclass	lang:0000001	lang:1000059		Eastern Acipa				acp	I	L		Eastern Acipa language		
owl:Class	subclass	lang:0000001	lang:1000060		Ta'izzi-Adeni Arabic				acq	I	L		Ta'izzi-Adeni Arabic language		
owl:Class	subclass	lang:0000001	lang:1000061		Achi				acr	I	L		Achi language		
owl:Class	subclass	lang:0000001	lang:1000062		Acroá				acs	I	E		Acroá language		
owl:Class	subclass	lang:0000001	lang:1000063		Achterhoeks				act	I	L		Achterhoeks language		
owl:Class	subclass	lang:0000001	lang:1000064		Achuar-Shiwiar				acu	I	L		Achuar-Shiwiar language		
owl:Class	subclass	lang:0000001	lang:1000065		Achumawi				acv	I	L		Achumawi language		
owl:Class	subclass	lang:0000001	lang:1000066		Hijazi Arabic				acw	I	L		Hijazi Arabic language		
owl:Class	subclass	lang:0000001	lang:1000067		Omani Arabic				acx	I	L		Omani Arabic language		
owl:Class	subclass	lang:0000001	lang:1000068		Cypriot Arabic				acy	I	L		Cypriot Arabic language		
owl:Class	subclass	lang:0000001	lang:1000069		Acheron				acz	I	L		Acheron language		
owl:Class	subclass	lang:0000001	lang:1000070		Adangme		ada	ada	ada	I	L		Adangme language		
owl:Class	subclass	lang:0000001	lang:1000071		Adabe				adb	I	L		Adabe language		
owl:Class	subclass	lang:0000001	lang:1000072		Lidzonka				add	I	L		Lidzonka language		
owl:Class	subclass	lang:0000001	lang:1000073		Adele				ade	I	L		Adele language		
owl:Class	subclass	lang:0000001	lang:1000074		Dhofari Arabic				adf	I	L		Dhofari Arabic language		
owl:Class	subclass	lang:0000001	lang:1000075		Andegerebinha				adg	I	L		Andegerebinha language		
owl:Class	subclass	lang:0000001	lang:1000076		Adhola				adh	I	L		Adhola language		
owl:Class	subclass	lang:0000001	lang:1000077		Adi				adi	I	L		Adi language		
owl:Class	subclass	lang:0000001	lang:1000078		Adioukrou				adj	I	L		Adioukrou language		
owl:Class	subclass	lang:0000001	lang:1000079		Galo				adl	I	L		Galo language		
owl:Class	subclass	lang:0000001	lang:1000080		Adang				adn	I	L		Adang language		
owl:Class	subclass	lang:0000001	lang:1000081		Abu				ado	I	L		Abu language		
owl:Class	subclass	lang:0000001	lang:1000082		Adangbe				adq	I	L		Adangbe language		
owl:Class	subclass	lang:0000001	lang:1000083		Adonara				adr	I	L		Adonara language		
