Row	Type	Prefix	Name	Label	Domain	Dispostion	Yes/No	DispComment	Definitions	Editor Note	Example	Status	Human Friendly Name	Name of editor	Alternative Name	Citation
1	A	dcterms:	description		ALL	Q	yes	Required								
2	A	dcterms:	source		ALL	Q	yes	Required								
3	A	geo:	sourceCreator		GAZ	N	no	See GAZ								
4	A	geo:	sourceIdentifier		GAZ	N	no	See GAZ								
5	A	geo:	sourceModified		GAZ	N	no	See GAZ								
6	A	obo:	ARG_0000033		NA	U	no	Unused								
7	A	obo:	BFO_0000179		NA	N	no	Not needed								
8	A	obo:	BFO_0000180		NA	N	no	Not needed								
9	A	obo:	IAO_0000111		ALL	I	yes	Include								
10	A	obo:	IAO_0000112		ALL	I	yes	Include								
11	A	obo:	IAO_0000114		ALL	I	yes	Include								
12	A	obo:	IAO_0000115		ALL	I	yes	Include								
13	A	obo:	IAO_0000116		ALL	I	yes	Include								
14	A	obo:	IAO_0000117		ALL	I	yes	Include								
15	A	obo:	IAO_0000118		ALL	I	yes	Include								
16	A	obo:	IAO_0000119		ALL	I	yes	Include								
17	A	obo:	IAO_0000231		NA	U	no	Unused								
18	A	obo:	IAO_0000232		ALL	I	yes	Curator Note.  Distinct from Editor's note (IAO_0000116).  See IAO								
19	A	obo:	IAO_0000412		NA	N	no	Not needed.  Ontology IRI must be resolvable.								
20	A	obo:	IAO_0000600		NA	N	no	Elucidation for upper level items								
21	A	obo:	IAO_0000601		NA	N	no	Associated axiom in natural language								
22	A	obo:	IAO_0000602		NA	N	no	Assoiated axiom in formal logic								
23	A	ocres:	curator		NA	N	no									
24	A	ocresp:	develop_comment		NA	N	no									
25	A	owl:	minCardinality		ALL	I	yes									
26	A	rdfs:	comment		NA	N	no	Leave annotations in the ontology in which the term is defined								
27	A	rdfs:	isDefinedBy		NA	N	no	Not needed.  Ontology IRI must be resolvable.								
28	A	rdfs:	label		ALL	I	yes	Required for all terms								
29	A	skos4:	scopeNote		NA	N	no	Leave annotations of SKOS terms in SKOS								
30	A	skos8:	editorialNote		NA	N	no	Leave annotations of SKOS terms in SKOS								
31	A	skos8:	scopeNote		NA	N	no	Leave annotations of SKOS terms in SKOS								
32	A	vitro:	descriptionAnnot		NA	N	no	Use IAO_0000115								
33	A	vitro:	exampleAnnot		NA	N	no	Use IAO_0000112								
34	A	vitro:	stubObjectPropertyAnnot		NA	N	no	Does not belong in the ontology								
35	A	vocab:	term_status		NA	N	no	Use IAO_0000114								
36	C	bibo:	AcademicArticle	Academic Article	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Written by scholars for other scholars, typically published in an academic journal with an abstract and bibliography"		A specific academic journal article					
37	C	bibo:	Article	Article	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A written composition in prose, usually nonfiction, on a specific topic, forming an independent part of a periodical or book"		Short Definition modified from the bibo ontology.|A specific journal article					
38	C	bibo:	AudioDocument	Audio Document	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Recorded audio in any format		phonograph record; tape; CD; DVD; DAT					
39	C	bibo:	AudioVisualDocument	Audio-Visual Document	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Audiovisual recording in any format		film; video; Blu-ray					
40	C	bibo:	Bill	Bill	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Draft legislation presented for discussion to a legal body		Short Definition from the bibo ontology					
41	C	bibo:	Book	Book	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A written or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers"		Short Definition copied from bibo ontology					
42	C	bibo:	BookSection	Book Section	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A section of a book		Short Definition from the bibo ontology 					
43	C	bibo:	Brief	Brief	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A document stating the facts and points of law of a client's case							
44	C	bibo:	Chapter	Chapter	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A main division of a book							
45	C	bibo:	Code	Code	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A work consisting of texts of rules and regulations related to statutes issued by executive or administrative agencies		"Short Definition from OCLC Input Standards, EntW|Code of Federal Regulations"					
46	C	bibo:	CollectedDocument	Collected Document	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Work consisting of collections of previously published works		Short Definition is the Medical Subject Heading (MeSH) definition					
47	C	bibo:	Collection	Collection	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Collection of information resources that have a unified identity		"Collection of information resources that have a unified identity. Archives, museums and libraries often acquire collections on specific subjects and from distinguished authors or researchers. Also includes collections of resources bundled into a license.|Hill Ornithology Collection; Wiley Interscience Online Books Biochemisty Collection"					
48	C	bibo:	Conference	Conference	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A meeting for consultation or discussion.		2010 International Congress on Autoimmunity; American Libraries Association 2009|core:Seminar and bibo:Conference are very similar.					
49	C	bibo:	CourtReporter	Court Reporter	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Collection of legal cases		Supreme Court Reporter					
50	C	bibo:	Document	Document	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A collection of information content entities intended to be understood together as a whole|A bounded physical representation of a body of information designed with the capacity (and usually intent) to communicate		"Short Definition from the bibo ontology|A journal article, patent application, laboratory notebook, or a book"	http://purl.obolibrary.org/obo/IAO_0000120	document	PERSON: Lawrence Hunter		
51	C	bibo:	DocumentPart	Document Part	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A distinct part of a larger document or collected document		Short Definition from the bibo ontology 					
52	C	bibo:	DocumentStatus	Document Status	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	The status of a document with respect to its publication.		"submitted; accepted; in-press; published; invited; refereed.|The status of a document with respect to its publication. The statuses are represented as individuals of this class. Use the \show all individuals of this class\"" button on the class control panel to see the currently defined statuses."""					
53	C	bibo:	EditedBook	Edited Book	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	An edited collection of stand-alone articles published as a book		Best American Science Writing 2009					
54	C	bibo:	Excerpt	Excerpt	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A passage selected from a larger work		Short Definition from the bibo ontology					
55	C	bibo:	Film	Film	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Audiovisual recording in film format							
56	C	bibo:	Hearing	Hearing	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"An instance or a session in which testimony and arguments are presented, esp. before an official, as a judge in a lawsuit."		Definiton from Bibo here: http://bibotools.googlecode.com/svn/bibo-ontology/trunk/doc/index.html					
57	C	bibo:	Image	Image	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A visual representation such as a photograph or graph		photograph; diagram|\n					
58	C	bibo:	Interview	Interview	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A conversation between two or more people where questions are asked by the interviewer to obtain information from the interviewee.		radio or newspaper interview					
59	C	bibo:	Issue	Issue	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"something that is printed or published and distributed, esp. a given number of a periodical"		Short Definition from the bibo ontology					
60	C	bibo:	Journal	Journal	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Contains original scholarly research or review articles by experts in the field		"Journal of Information Science; IEEE Intelligent System; Scientometrics|Articles usually contain abstracts and bibliographies. Includes peer-reviewed, non-peer-reviewed, and open access journals. Journals are usually indexed in the major academic databases such as PubMed and Web of Science."					
61	C	bibo:	LegalCaseDocument	Legal Case Document	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Official court  papers for a case							
62	C	bibo:	LegalDecision	Decision	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"The written determination of a case, motion or claim by a court or tribunal"							
63	C	bibo:	LegalDocument	Legal Document	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	a document that states some contractual relationship or grants some right							
64	C	bibo:	Legislation	Legislation	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Enactments of legislative bodies, published in either statute or code form"		"From OCLC Input Standards, EntW"					
65	C	bibo:	Letter	Letter	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A written or printed communication addressed to a person or organization and usually transmitted by mail		A written or printed communication addressed to a person or organization and usually transmitted by mail					
66	C	bibo:	Magazine	Magazine	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Contains articles of current events or general interest, geared to the reading public as being informative or recreational"		New Yorker|Abstracts and bibliographies are usually not included in magazines. 					
67	C	bibo:	Manual	Manual	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A book of instructions or guide to a specific topic		SDB User Manual					
